Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,Seattle,WA,98116,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.382732026 47.591400001)
Medium Risk,Alki/Admiral,2124 California Ave SW,Seattle,WA,98116,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.386072968 47.584527008)
Medium Risk,Alki/Admiral,2306 42nd Ave SW,Seattle,WA,98116,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,POINT (-122.384725996 47.582694012)
Medium Risk,Alki/Admiral,4029 Beach Dr SW,Seattle,WA,98116,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit,POINT (-122.409788977 47.567839016)
Medium Risk,Ballard,5300 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.383050035 47.66662402)
Medium Risk,Ballard,5239 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.383269976 47.666219006)
Medium Risk,Ballard,5233 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.383277017 47.666127015)
Critical Risk,Ballard,5800 15th Ave NW,Seattle,WA,98107,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.375674966 47.671183985)
Medium Risk,Ballard,5227 Leary Ave NW,Seattle,WA,98107,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.381882017 47.666121986)
Medium Risk,Ballard,5333 Ballard Ave NW,Seattle,WA,98107,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.384285025 47.667020987)
Medium Risk,Ballard,2021 NW 58th St,Seattle,WA,98107,1900,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.382953978 47.670730021)
Medium Risk,Ballard,1903 NW Market St,Seattle,WA,98107,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.381839018 47.668424997)
Medium Risk,Ballard,5205 Ballard Ave NW,Seattle,WA,98107,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.382591964 47.665523015)
Medium Risk,Ballard,5323 Ballard Ave NW,Seattle,WA,98107,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.384120991 47.66684899)
High Risk,Ballard,2000 NW Market St,Seattle,WA,98107,1924,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38242902 47.668944005)
Medium Risk,Ballard,5337 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.384405975 47.667125006)
Medium Risk,Ballard,5814 22nd Ave NW,Seattle,WA,98107,1928,4,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.384441012 47.671433011)
Medium Risk,Ballard,5313 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.383829971 47.666568993)
Medium Risk,Ballard,2056 NW Market St,Seattle,WA,98107,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.384508989 47.668946016)
Medium Risk,Ballard,5403 Ballard Ave NW,Seattle,WA,98107,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.385078036 47.667479016)
Medium Risk,Ballard,1766 NW Market St,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.381694011 47.66892699)
Medium Risk,Ballard,5443 Ballard Ave NW,Seattle,WA,98107,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.386287964 47.668311003)
High Risk,Ballard,4743 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit,POINT (-122.380219969 47.663510017)
Medium Risk,Ballard,5425 Russell Ave NW,Seattle,WA,98107,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.383091022 47.66830501)
Medium Risk,Ballard,5424 Ballard Ave NW,Seattle,WA,98107,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.385512973 47.668411)
Medium Risk,Ballard,2215 NW Market St,Seattle,WA,98107,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.385721012 47.668484006)
Medium Risk,Ballard,5200 Ballard Ave NW,Seattle,WA,98107,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.382384009 47.666001999)
Medium Risk,Ballard,1836 NW Market St,Seattle,WA,98107,1926,1,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.38191303 47.668944005)
Medium Risk,Ballard,5419 Ballard Ave NW,Seattle,WA,98107,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.385590003 47.667858003)
Critical Risk,Ballard,5201 Ballard Ave NW,Seattle,WA,98107,1915,2,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.382473025 47.665414008)
High Risk,Ballard,5215 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.382805032 47.665712991)
Medium Risk,Ballard,5218 20th Ave NW,Seattle,WA,98107,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.381914036 47.667392012)
Medium Risk,Ballard,5242 Shilshole Ave NW,Seattle,WA,98107,1926,1,No visible retrofit,Industrial,11-100,Field Visit,POINT (-122.383318004 47.665705992)
Medium Risk,Ballard,5463 Leary Ave NW,Seattle,WA,98107,1950,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.384346967 47.668168008)
Medium Risk,Ballard,5348 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.384273038 47.667687013)
Medium Risk,Ballard,5229 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.383133016 47.665984019)
Medium Risk,Ballard,5429 Ballard Ave NW,Seattle,WA,98107,1923,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.385841041 47.668021995)
Medium Risk,Ballard,5310 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,POINT (-122.383277017 47.666817013)
Medium Risk,Ballard,5425 Ballard Ave NW,Seattle,WA,98107,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.385701985 47.667923005)
Medium Risk,Ballard,5405 Leary Ave NW,Seattle,WA,98107,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.382825987 47.66687401)
Medium Risk,Ballard,5109 Ballard Ave NW,Seattle,WA,98107,1900,2,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.381481026 47.664558006)
Medium Risk,Ballard,5344 Ballard Ave NW,Seattle,WA,98107,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.384150998 47.667577)
Medium Risk,Ballard,2236 NW Market St,Seattle,WA,98107,1927,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386399024 47.668953979)
Medium Risk,Ballard,5100 Ballard Ave NW,Seattle,WA,98107,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.380813995 47.664687004)
Medium Risk,Ballard,5130 Ballard Ave NW,Seattle,WA,98107,1900,1,Visible retrofit,Commercial,101+,Field Visit,POINT (-122.381655035 47.665372015)
Medium Risk,Ballard,2244 NW Market St,Seattle,WA,98107,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.386805966 47.668953015)
